STATION,STATION_NAME,DATE,PRCP,TAVG,TMAX,TMIN,State
GHCND:MX000017004,CUERNAVACA MX,20110311,0.0,24.5,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20130612,18.0,24.5,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20140731,0.0,24.5,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20150224,0.0,24.5,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20151111,0.0,24.5,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20170221,0.0,24.5,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110224,0.0,24.6,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110315,0.0,24.6,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110319,0.0,24.6,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110710,46.2,24.6,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110712,0.0,24.6,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110826,0.0,24.6,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110829,0.0,24.6,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20111120,0.0,24.6,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20120326,0.0,24.6,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20120516,0.0,24.6,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20130327,0.0,24.6,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20130729,0.0,24.6,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20130809,0.0,24.6,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20140203,0.0,24.6,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20150517,0.0,24.6,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20150609,0.0,24.6,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20150814,0.0,24.6,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20151018,0.0,24.6,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20151218,0.0,24.6,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20160425,0.0,24.6,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20160516,0.0,24.6,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20160627,0.0,24.6,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20160710,0.0,24.6,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20170219,0.0,24.6,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110728,0.0,24.7,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110729,0.0,24.7,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110809,0.0,24.7,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110821,0.0,24.7,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110919,0.0,24.7,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20111106,0.0,24.7,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20111122,0.0,24.7,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20120306,0.0,24.7,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20120327,0.0,24.7,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20130528,21.1,24.7,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20130703,0.0,24.7,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20130717,0.0,24.7,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20130728,17.5,24.7,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20130730,0.0,24.7,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20130816,0.0,24.7,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20140209,0.0,24.7,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20140311,0.0,24.7,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20140618,0.3,24.7,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20140810,0.0,24.7,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20150331,0.0,24.7,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20150515,10.9,24.7,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20151222,0.0,24.7,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20151225,0.0,24.7,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20161225,0.0,24.7,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110102,0.0,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110707,14.0,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110719,0.5,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110801,0.0,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110813,0.0,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110831,0.0,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20111107,0.0,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20120321,0.0,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20120328,0.0,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20120604,0.0,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20130219,0.0,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20130319,0.0,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20130426,9.4,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20130613,0.0,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20130701,0.0,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20130727,0.0,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20140423,0.0,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20140601,0.0,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20140720,0.0,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20140803,0.0,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20150227,0.0,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20150501,0.0,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20150525,0.0,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20150728,0.0,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20150815,0.0,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20170328,0.0,24.8,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110721,0.0,24.9,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110814,0.0,24.9,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110820,0.0,24.9,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20120220,0.0,24.9,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20130225,0.0,24.9,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20130704,3.8,24.9,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20130804,0.8,24.9,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20131028,0.0,24.9,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20131030,0.0,24.9,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20140223,0.0,24.9,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20140301,0.0,24.9,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20140524,0.0,24.9,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20140614,0.0,24.9,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20150518,2.0,24.9,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20150619,0.0,24.9,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20150731,0.0,24.9,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20150809,0.0,24.9,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20151109,0.0,24.9,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20151231,0.0,24.9,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20160221,0.0,24.9,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20160529,0.0,24.9,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20160605,0.0,24.9,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20160612,0.0,24.9,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110206,0.0,25.0,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110226,0.0,25.0,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110811,0.0,25.0,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110913,0.0,25.0,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20120118,0.0,25.0,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20120312,0.0,25.0,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20120527,0.0,25.0,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20130815,0.0,25.0,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20160225,0.0,25.0,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20160306,0.0,25.0,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20160707,0.0,25.0,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20161219,0.0,25.0,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110209,0.0,25.1,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110720,2.3,25.1,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110802,0.0,25.1,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110815,2.3,25.1,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20110822,0.8,25.1,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20120330,0.0,25.1,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20121019,0.0,25.1,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20130514,9.4,25.1,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20130724,0.0,25.1,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20140226,0.0,25.1,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20140517,0.0,25.1,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20140530,0.0,25.1,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20150319,0.0,25.1,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20150715,0.0,25.1,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20160204,0.0,25.1,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20160607,0.0,25.1,31.4,15.4,Morelos
GHCND:MX000017004,CUERNAVACA MX,20170307,0.0,25.1,31.4,15.4,Morelos
