Date,Origin,Destiny,MinPrice,MaxPrice,MeanPrice
5/28/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
5/28/2012,Tamaulipas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
5/29/2012,Coahuila,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
5/29/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
5/30/2012,Coahuila,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
5/30/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
5/31/2012,Coahuila,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
5/31/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
6/1/2012,Coahuila,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
6/1/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
6/4/2012,Coahuila,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
6/4/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
6/5/2012,Coahuila,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
6/5/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
6/6/2012,Coahuila,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
6/6/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
6/7/2012,Coahuila,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
6/7/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
6/8/2012,Coahuila,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
6/8/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
6/11/2012,Coahuila,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
6/11/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
6/12/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
6/12/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,2.5,3,3
6/13/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
6/13/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,2.5,3,3
6/14/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
6/14/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,2.5,3,3
6/15/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
6/15/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,2.5,3,3
6/18/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
6/18/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,2.5,3,3
6/19/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
6/19/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,2.5,3,3
6/20/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
6/20/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,2.5,3,3
6/21/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
6/21/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,2.5,3,3
6/22/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
6/22/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,2.5,3,3
6/25/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
6/25/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,2.5,3,3
6/26/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
6/26/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
6/27/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
6/27/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
6/28/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
6/28/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
6/29/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
6/29/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
7/2/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
7/2/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
7/3/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
7/3/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
7/4/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
7/4/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
7/5/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
7/5/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
7/6/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
7/6/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
7/9/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
7/9/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
7/10/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
7/10/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
7/11/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
7/11/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
7/12/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
7/12/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
7/13/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
7/13/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
7/16/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
7/16/2012,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
7/17/2012,Chihuahua,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
